"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"25/05/2016","18:10","Aunty Ann","Newton Abbot","2","11/8","1.38","2.63","2.32","-11.79","1000.00","37922.81","2.25","2.25","2.10","1.28","Hurdle"
"25/05/2016","18:50","Bond Trader","Kempton","9","3/1","3.00","4.80","2.90","-39.58","1000.00","20733.33","6.00","6.50","6.50","2.02","A/W"
"25/05/2016","19:30","Shamreen","Gowran Park","1","4/5","0.80","1.91","1.01","-47.12","5.00","161.78","2.25","2.25","2.25","1.22","Turf"
"25/05/2016","19:50","Al Khafji","Kempton","4","5/4","1.25","2.31","1.76","-23.81","1000.00","43190.04","2.75","2.63","2.63","1.56","A/W"
"26/05/2016","14:00","Northern Thunder","Haydock","2","13/8","1.63","2.80","2.00","-28.57","1000.00","35614.29","2.25","2.25","2.63","1.25","Turf"
"26/05/2016","15:50","Rustique","Chelmsford City","2","9/4","2.25","3.71","2.00","-46.09","1000.00","26854.18","3.75","3.75","3.75","2.08","A/W"
"26/05/2016","18:25","Poet's Society","Newcastle","1","7/4","1.75","2.83","1.01","-64.31","3.30","16.61","3.50","2.88","2.88","1.38","A/W"
"26/05/2016","18:35","Mehmas","Sandown","2","13/8","1.63","2.86","1.27","-55.59","1000.00","34865.03","2.00","2.00","2.10","1.67","Turf"
"26/05/2016","19:50","Stuccodor","Tipperary","5","13/8","1.63","2.76","2.50","-9.42","1000.00","36131.88","2.38","2.38","2.38","1.39","Hurdle"
"27/05/2016","14:20","Monks Stand","Brighton","1","2/5","0.40","1.48","1.01","-31.76","2.24","51.35","2.00","1.67","1.57","1.17","Turf"
"27/05/2016","15:30","Barroche","Bath","1","5/2","2.50","3.50","1.01","-71.14","4.20","20.00","6.00","3.50","3.75","1.60","Turf"
"27/05/2016","15:50","Goldenfield","Brighton","1","6/5","1.20","2.22","1.01","-54.50","2.30","3.60","2.25","2.20","1.90","1.41","Turf"
"27/05/2016","18:20","Southfield Vic","Worcester","1","10/11","0.90","1.97","1.01","-48.73","2.62","32.99","2.63","2.10","2.38","1.22","Chase"
"27/05/2016","19:10","Haraz","Musselburgh","2","5/2","2.50","3.38","2.52","-25.44","1000.00","29485.80","3.25","2.75","2.75","1.97","Turf"
"27/05/2016","19:20","Comely","Worcester","4","4/6","0.67","1.75","1.66","-5.14","1000.00","57042.86","1.57","1.57","1.57","1.11","NHF"
"27/05/2016","19:30","Yalta","Pontefract","1","30/100","0.30","1.40","1.01","-27.86","1.41","0.71","1.57","1.40","1.40","1.18","Turf"
"28/05/2016","13:55","Medicine Jack","Navan","1","7/4","1.75","3.15","1.01","-67.94","3.45","9.52","4.50","3.00","2.75","1.34","Turf"
"28/05/2016","14:15","Justice Angel","Chester","7","9/4","2.25","3.69","3.35","-9.21","1000.00","27000.27","3.50","3.50","3.25","2.14","Turf"
"28/05/2016","14:25","The Last Lion","Beverley","2","9/4","2.25","3.84","1.52","-60.42","1000.00","25941.67","2.75","3.00","2.63","2.12","Turf"
"28/05/2016","14:40","Desert Cry","Cartmel","3","5/1","5.00","7.41","2.04","-72.47","760.00","10156.41","4.50","5.50","5.00","2.24","Hurdle"
"28/05/2016","17:50","Repton","Salisbury","1","4/6","0.67","1.69","1.01","-40.24","3.75","121.89","2.25","1.73","1.73","1.18","Turf"
"28/05/2016","20:20","Ejayteekay","Salisbury","4","3/1","3.00","4.37","2.40","-45.08","1000.00","22783.30","4.50","3.25","3.25","1.58","Turf"
"29/05/2016","13:50","Fountains Windfall","Fontwell","1","1/6","0.17","1.17","1.01","-13.68","1.20","2.56","1.50","1.47","1.33","1.02","Hurdle"
"29/05/2016","14:10","Midnight Cowboy","Uttoxeter","4","15/8","1.88","3.05","1.60","-47.54","1000.00","32686.89","2.88","3.00","3.50","1.17","Hurdle"
"29/05/2016","16:05","New Vic","Kelso","PU","14/1","14.00","19.32","16.00","-17.18","1000.00","5075.98","11.00","23.00","15.00","4.31","Chase"
"29/05/2016","17:10","Vanilla Run","Kelso","1","9/4","2.25","3.79","1.01","-73.35","16.00","322.16","3.50","3.00","2.88","1.45","NHF"
"30/05/2016","13:15","David's Duchess","Redcar","2","6/5","1.20","2.17","1.30","-40.09","1000.00","45982.95","2.63","3.00","2.63","1.26","Turf"
"30/05/2016","14:10","Pretty Vacant","Leicester","1","4/7","0.57","1.67","1.01","-39.52","1.84","10.18","2.38","2.00","2.00","1.13","Turf"
"30/05/2016","14:55","Outback Blue","Windsor","2","7/2","3.50","5.20","1.42","-72.69","1000.00","19130.77","4.50","4.50","4.50","2.06","Turf"
"30/05/2016","16:15","Lord Bryan","Huntingdon","2","Evens","1.00","2.16","1.70","-21.30","1000.00","46196.30","2.50","3.00","2.75","1.33","NHF"
"30/05/2016","16:45","Danehills Well","Cartmel","6","7/2","3.50","5.30","4.60","-13.21","1000.00","18767.92","5.00","4.50","4.50","1.73","Chase"
"30/05/2016","18:30","Tocororo","Ballinrobe","1","4/9","0.44","1.54","1.01","-34.42","1.70","10.39","1.73","1.57","1.57","1.10","Hurdle"
"31/05/2016","14:10","Il Presidente","Towcester","2","1/2","0.50","1.62","1.09","-32.72","1000.00","61628.40","1.67","1.73","1.73","1.25","Hurdle"
"31/05/2016","14:30","Prerogative","Leicester","3","10/1","10.00","16.00","1.70","-89.37","1000.00","6150.00","13.00","13.00","9.00","2.88","Turf"
"31/05/2016","15:20","Lawyer","Redcar","4","7/2","3.50","4.45","3.30","-25.84","1000.00","22371.91","6.50","6.50","4.50","1.66","Turf"
"31/05/2016","16:10","No No Mac","Towcester","1","1/7","0.14","1.17","1.01","-13.68","1.17","0.00","1.20","1.10","1.11","1.10","Chase"
"31/05/2016","17:10","Double Accord","Towcester","3","15/8","1.88","3.07","2.06","-32.90","1000.00","32473.29","5.00","5.00","4.50","1.33","Hurdle"
