"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"16/05/2016","20:40","Blakeney Point","Leicester","1","5/2","2.50","3.47","1.01","-70.89","4.10","18.16","4.50","4.50","5.50","1.68","Turf"
"17/05/2016","14:00","The Magic Pencil","Newcastle","6","7/1","7.00","7.57","5.80","-23.38","300.00","3863.01","6.00","9.00","9.00","2.26","A/W"
"17/05/2016","14:55","Heart Of Lions","Lingfield","1","8/11","0.73","1.91","1.01","-47.12","4.60","140.84","2.25","2.20","2.25","1.19","A/W"
"17/05/2016","15:25","Cryptic","Lingfield","8","7/4","1.75","2.98","2.80","-6.04","1000.00","33457.05","2.88","2.50","2.50","1.44","A/W"
"17/05/2016","16:40","Monsieur Jimmy","Newcastle","12","17/2","8.50","11.67","9.00","-22.88","290.00","2385.00","9.00","9.00","8.50","3.68","A/W"
"17/05/2016","17:00","Music Major","Lingfield","3","7/2","3.50","5.43","3.05","-43.83","1000.00","18316.21","4.50","4.50","4.00","2.20","A/W"
"17/05/2016","18:00","War Singer","Huntingdon","1","4/1","4.00","6.63","1.01","-84.77","17.50","163.95","2.75","3.25","3.50","1.22","Chase"
"17/05/2016","18:30","Anton Dolin","Huntingdon","2","5/1","5.00","6.50","3.00","-53.85","1000.00","15284.62","8.00","5.00","4.50","2.18","Hurdle"
"17/05/2016","18:40","Slemy","Wetherby","1","6/1","6.00","6.74","1.01","-85.01","32.00","374.78","6.00","5.50","5.00","2.11","Turf"
"17/05/2016","19:00","Kassis","Huntingdon","1","3/1","3.00","4.10","1.01","-75.37","9.00","119.51","7.00","7.00","5.50","1.50","Chase"
"17/05/2016","19:10","Casterbridge","Wetherby","9","9/2","4.50","6.80","5.90","-13.24","1000.00","14605.88","7.00","5.00","4.50","2.34","Turf"
"17/05/2016","19:30","Rolling Dough","Huntingdon","2","17/2","8.50","11.50","1.16","-89.91","1000.00","8595.65","7.00","6.50","6.50","2.80","Hurdle"
"17/05/2016","20:40","Haraz","Wetherby","2","13/8","1.63","2.60","1.19","-54.23","70.00","2592.31","2.38","2.75","2.63","1.26","Turf"
"18/05/2016","14:55","Mahfooz","Bath","2","2/1","2.00","3.96","2.74","-30.81","1000.00","25152.53","2.75","3.00","2.88","1.19","Turf"
"18/05/2016","17:25","Millefiori","Ayr","1","4/1","4.00","5.21","1.01","-80.61","9.00","72.74","8.00","9.00","9.00","2.37","Turf"
"18/05/2016","21:05","Little Stampy","Dundalk","4","8/1","8.00","14.89","13.00","-12.69","760.00","5004.10","8.00","10.00","10.00","3.28","A/W"
"19/05/2016","14:00","Doctor Kehoe","Lingfield","5","12/1","12.00","18.58","6.40","-65.55","390.00","1999.03","15.00","15.00","15.00","3.20","Turf"
"19/05/2016","14:10","Edeiff's Lad","Worcester","4","6/1","6.00","8.19","3.60","-56.04","170.00","1975.70","5.00","5.50","5.50","2.19","Chase"
"19/05/2016","14:20","Russian Realm","Goodwood","8","8/1","8.00","13.00","4.00","-69.23","250.00","1823.08","6.50","6.50","7.50","3.95","Turf"
"19/05/2016","18:25","Harbour Law","Sandown","1","7/2","3.50","4.50","1.01","-77.56","6.80","51.11","11.00","5.00","5.00","1.92","Turf"
"19/05/2016","18:45","Dot Green","Ripon","2","1/4","0.25","1.30","1.08","-16.92","1000.00","76823.08","1.33","1.33","1.36","1.07","Turf"
"20/05/2016","14:30","Jester Spirit","Carlisle","3","10/1","10.00","12.83","7.00","-45.44","1000.00","7694.23","13.00","13.00","13.00","3.00","Turf"
"20/05/2016","14:55","Aristocratic","Goodwood","2","5/2","2.50","3.72","3.15","-15.32","1000.00","26781.72","3.75","3.25","3.00","1.85","Turf"
"20/05/2016","16:35","Clear Spring","Goodwood","4","9/2","4.50","6.02","4.50","-25.25","1000.00","16511.30","5.50","4.50","5.50","1.97","Turf"
"20/05/2016","17:35","Gone To Russia","Cork","PU","8/11","0.73","1.85","1.31","-29.19","1000.00","53954.05","1.80","2.00","1.83","1.17","Turf"
"20/05/2016","17:55","Dontbackme","Downpatrick","3","4/1","4.00","6.20","3.10","-50.00","1000.00","16029.03","4.33","3.50","4.00","2.17","Hurdle"
"20/05/2016","18:30","Merchant Of Medici","Haydock","5","8/1","8.00","11.56","2.50","-78.37","1000.00","8550.52","5.00","7.50","6.50","2.70","Turf"
"20/05/2016","18:35","Charlies Missile","Cork","5","7/2","3.50","5.28","5.20","-1.52","1000.00","18839.39","5.00","4.50","5.00","2.14","Turf"
"20/05/2016","19:25","Araglen Lad","Downpatrick","6","8/1","8.00","11.11","6.80","-38.79","1000.00","8900.90","3.75","3.25","3.50","3.55","Chase"
"20/05/2016","19:55","Lash It On","Downpatrick","1","9/4","2.25","3.65","1.01","-72.33","7.80","113.70","4.50","4.50","4.50","2.10","Chase"
"20/05/2016","20:00","Hubertas","Haydock","2","7/4","1.75","2.84","1.02","-64.08","370.00","12928.17","5.50","7.00","6.50","1.31","Turf"
"21/05/2016","14:30","My Reward","Haydock","1","4/1","4.00","5.67","1.01","-82.19","6.00","5.82","6.00","6.00","5.50","1.99","Turf"
"21/05/2016","14:40","Quest For More","York","2","7/2","3.50","4.80","1.79","-62.71","1000.00","20733.33","4.00","4.50","4.50","1.78","Turf"
"21/05/2016","14:50","Mount Logan","Goodwood","1","2/1","2.00","3.30","1.01","-69.39","9.60","190.91","2.63","2.88","2.75","1.76","Turf"
"21/05/2016","15:20","Brave Anna","Curragh","1","9/2","4.50","4.43","1.01","-77.20","11.00","148.31","9.00","8.50","9.00","1.67","Turf"
"21/05/2016","16:30","Hyzenthlay","Curragh","8","20/1","20.00","46.00","42.00","-8.70","1000.00","2073.91","11.00","13.00","15.00","5.33","Turf"
"21/05/2016","17:05","Fort Del Oro","Curragh","7","11/4","2.75","4.20","2.20","-47.62","1000.00","23709.52","4.00","3.75","3.75","1.43","Turf"
"21/05/2016","19:50","Cartographic","Chepstow","3","2/1","2.00","3.25","1.51","-53.54","1000.00","30669.23","3.25","3.50","3.25","1.85","Turf"
"21/05/2016","20:50","Dizzey Heights","Chepstow","4","9/4","2.25","4.04","3.05","-24.50","1000.00","24652.48","6.50","6.00","4.00","1.65","Turf"
"22/05/2016","14:30","Housesofparliament","Curragh","4","5/2","2.50","4.00","3.70","-7.50","1000.00","24900.00","3.25","3.00","2.88","1.72","Turf"
"22/05/2016","15:40","Found","Curragh","2","8/15","0.53","1.64","1.20","-26.83","1000.00","60875.61","1.67","1.57","1.70","1.08","Turf"
"22/05/2016","16:55","Cocker","Fakenham","3","4/1","4.00","5.02","4.00","-20.32","930.00","18425.90","11.00","13.00","6.00","1.71","Hurdle"
"23/05/2016","14:15","Masquerade Bling","Leicester","11","14/1","14.00","16.60","11.50","-30.72","1000.00","5924.10","4.50","6.50","6.00","3.65","Turf"
"23/05/2016","14:45","Dr Julius No","Leicester","1","5/2","2.50","3.61","1.01","-72.02","7.60","110.53","4.50","2.75","2.75","1.55","Turf"
"23/05/2016","15:40","Mercury","Ayr","9","17/2","8.50","10.86","8.40","-22.65","1000.00","9108.10","7.00","7.50","6.00","2.22","Turf"
"23/05/2016","15:55","Banksea","Leicester","2","7/4","1.75","3.00","1.20","-60.00","1000.00","33233.33","3.25","3.25","3.00","1.40","Turf"
"23/05/2016","16:45","Erik The Red","Ayr","2","7/4","1.75","3.01","1.50","-50.17","210.00","6876.74","4.33","2.63","2.75","1.38","Turf"
"23/05/2016","17:45","Super Julius","Windsor","2","8/1","8.00","5.57","4.10","-26.39","1000.00","17853.32","8.00","12.00","12.00","1.49","Turf"
"23/05/2016","20:15","Hepplewhite","Windsor","2","5/4","1.25","2.12","2.00","-5.66","1000.00","47069.81","2.50","2.63","2.63","1.20","Turf"
"24/05/2016","14:15","La Asomada","Wolverhampton","5","4/1","4.00","6.40","4.20","-34.38","1000.00","15525.00","4.00","3.50","3.50","2.12","A/W"
"24/05/2016","14:30","Suzy's Music","Hexham","5","9/2","4.50","6.42","6.00","-6.54","1000.00","15476.32","5.00","4.50","5.00","2.39","Chase"
"24/05/2016","15:45","Come On Dave","Wolverhampton","1","6/4","1.50","2.45","1.01","-58.78","2.62","6.94","3.50","3.25","2.88","1.33","A/W"
"24/05/2016","17:00","Darsi Dancer","Hexham","2","100/30","3.33","4.40","3.80","-13.64","890.00","20127.27","3.75","3.50","3.50","1.84","Hurdle"
"24/05/2016","17:40","Vaux","Wetherby","5","9/4","2.25","3.43","1.30","-62.10","1000.00","29054.52","3.50","4.00","4.00","1.34","Turf"
"24/05/2016","18:10","Miramonte Dancer","Wetherby","8","9/2","4.50","6.10","3.30","-45.90","1000.00","16293.44","11.00","9.00","9.00","2.74","Turf"
"25/05/2016","14:10","Lettheriverrundry","Market Rasen","1","1/2","0.50","1.51","1.01","-33.11","1.63","7.95","1.91","1.73","1.67","1.15","Hurdle"
"25/05/2016","14:40","Grimley Girl","Market Rasen","3","8/1","8.00","9.38","6.00","-36.03","1000.00","10560.98","8.00","8.00","7.00","2.63","Hurdle"
"25/05/2016","16:15","Star of Spring","Hamilton","2","11/2","5.50","7.98","3.60","-54.89","340.00","4160.65","8.00","9.00","9.00","2.67","Turf"
"25/05/2016","17:15","Northern Sky","Hamilton","2","6/4","1.50","2.68","1.20","-55.22","1000.00","37213.43","4.50","4.00","3.50","1.52","Turf"
"25/05/2016","18:30","Expreso Brasileiro","Gowran Park","2","9/4","2.25","3.56","1.01","-71.63","48.00","1248.31","6.00","5.00","4.50","1.42","Turf"
"25/05/2016","19:00","Beechmount Whisper","Gowran Park","8","11/2","5.50","6.49","5.80","-10.63","1000.00","15308.32","7.00","6.50","6.00","1.97","Turf"
"25/05/2016","19:10","Pinkie Brown","Newton Abbot","7","7/2","3.50","5.00","4.40","-12.00","1000.00","19900.00","6.50","7.00","6.50","2.15","Hurdle"
"25/05/2016","20:20","Yeeoow","Kempton","6","6/1","6.00","8.16","7.20","-11.76","1000.00","12154.90","11.00","9.00","7.50","2.40","A/W"
"25/05/2016","20:50","Be My Sea","Kempton","3","5/1","5.00","6.99","5.50","-21.32","1000.00","14206.15","5.50","6.00","5.50","2.37","A/W"
